# Lignite Betting Engine
# Version 1.0.0
# 2008-08-26
# Copyright© 2008 Carel Vosloo

Aintree,Aint
Ascot,Ascot
Ayr,Ayr
Ballinrobe,Ballin
Bangor,Bang
Bath,Bath
Bellewstown,Belle
Beverley,Bev
Brighton,Brig
Carlisle,Carl
Cartmel,Cart
Catterick,Catt
Cheltenham,Chelt
Chepstow,Chep
Chester,Chest
Clonmel,Clon
Cork,Cork
Doncaster,Donc
Down Royal ,DownR
Downpatrick,DownP
Dundalk,Dund
Epsom,Epsm
Exeter,Extr
Fairyhouse,Fairy
Fakenham,Fake
Folkstone,Folk
Fontwell,Font
Galway,Gal
Goodwood,Good
Gowran Park,GowP
Hamilton,Ham
Haydock,Hayd
Hereford,Here
Hexham,Hex
Huntingdon,Hunt
Kelso,Kelso
Kempton,Kemp
Kilbeggan,Kilb
Killarney,Killar
Layton,Layt
Leicester,Leic
Leopardstown,Leop
Limerick,Lim
Lingfield,Ling
Listowel,List
Ludlow,Ludl
Market Rasen,MrktR
Musselburgh,Muss
Naas,Naas
Navan,Navan
Newbury,Newb
Newcastle,Newc
Newmarket,Newm
Newton Abbot,Newt
Nottingham,Nott
Perth,Perth
Plumpton,Plump
Pontefract,Ponte
Punchestown,Punch
Redcar,Redc
Ripon,Ripon
Roscommon,Rosc
Salisbury,Salis
Sandown,Sand
Sedgefield,Sedge
Sligo,Silgo
Southwell,Sthl
Stratford,Strat
Taunton,Taun
The Curragh,Curr
Thirsk,Thirsk
Thurles,Thurl
Tipperary,Tipp
Towcester,Towc
Tralee,Tral
Tramore,Tram
Uttoxeter,Uttox
Warwick,Warw
Wetherby,Weth
Wexford,Wex
Wincanton,Winc
Windsor,Wind
Wolverhampton,Wolv
Worcester,Worc
Yarmouth,Yarm
York,York
Great Leighs,GLghs
